amount,location
1085, CITY LOT 21
1670,100 ASHWORTH PL
1370,100 BANK ALLEY
1135,100 BELLE AVE
1045,100 BRYANT AVE
1265,100 BURNET AVE
1385,100 CLARENDON ST
1250,100 CLIFTON PL
4640,100 COMSTOCK AVE
1000,100 COMSTOCK PL
3990,100 DELL ST
1080,100 ELDORADO ST
1210,100 FORDHAM RD
1095,100 GREEN ST
1040,100 HERBST AVE
1500,100 JEFFERSON ST E
1250,100 JEFFERSON ST W
1115,100 JOHN ST
1275,100 JUDSON ST
1450,100 MADISON ST
6880,100 MARSHALL ST
1080,100 OLIVE ST
1310,100 OSTROM AVE
1815,100 REDFIELD PL
2395,100 REMINGTON AVE
1200,100 THORNDON PARK
2735,100 WALNUT PL
1430,100 WALTON ST
1435,100 WARREN ST S
1605,100 WASHINGTON ST E
1645,100 WAYNE ST
1060,100 WOODBINE AVE
3985,1000 EILEEN COLLINS BLVD
4510,1000 MADISON ST
1980,1000 MCBRIDE ST S
1635,1100 MADISON ST
1180,1200 MADISON ST
2330,1400 SALT SPRINGS RD
1405,200 ASH ST
5830,200 BANK ALLEY
1045,200 CLINTON ST N
2810,200 COMSTOCK AVE
1960,200 DORCHESTER AVE
2210,200 EUCLID AVE
1335,200 FAYETTE ST W
1090,200 GENESEE PK DR
1680,200 GENESEE ST W
1135,200 HAWLEY AVE
2700,200 JEFFERSON ST E
2900,200 JEFFERSON ST W
1085,200 LEXINGTON AVE
1790,200 MADISON ST
2480,200 MARSHALL ST
2325,200 PROSPECT AVE
1595,200 SALINA ST S
1205,200 TENNYSON AVE
10780,200 WALNUT PL
3710,200 WALTON ST
1975,200 WARREN ST S
3195,200 WASHINGTON ST W
1750,200 WATER ST E
1095,200 WHITTIER AVE
1180,200 WOODBINE AVE
1190,300 CLINTON ST S
1385,300 EUCLID AVE
1035,300 FAYETTE ST W
2495,300 FORMAN AVE
1095,300 FRANKLIN ST S
1600,300 GREEN ST
1700,300 JEFFERSON ST W
5500,300 MONTGOMERY ST
2685,300 ONONDAGA ST E
1280,300 OTISCO ST
1000,300 ROOSEVELT AVE
4770,300 SALINA ST S
1465,300 TENNYSON AVE
1325,300 TURTLE ST
5200,300 WALNUT PL
4705,300 WARREN ST S
3720,300 WASHINGTON ST E
1035,300 WASHINGTON ST W
17835,300 WAVERLY AVE
1245,300 WHITTIER AVE
1700,400 BOYDEN ST
1200,400 CROUSE AVE S
1710,400 GENESEE ST E
1900,400 LAUREL ST E
3015,400 MARSHALL ST
2710,400 MONTGOMERY ST
1465,400 PROSPECT AVE
2020,400 SALINA ST S
1420,400 ULSTER ST
2940,400 WARREN ST S
1385,401 MONTGOMERY ST
1275,500 CLINTON ST S
1000,500 COMSTOCK AVE
1685,500 MONTGOMERY ST
2855,500 WALNUT AVE
1220,500 WARREN ST S
1050,511 STATE ST S
1450,600 CROUSE AVE S
1275,600 PARK AVE
3055,600 STATE ST S
1245,600 TOWNSEND ST N
2900,600 WALNUT AVE
1525,600 WILLIS AVE
1240,700 ACKERMAN AVE
6845,700 COMSTOCK AVE
2735,700 CROUSE AVE S
1555,700 EUCLID AVE
1865,700 FAYETTE ST E
3025,700 IRVING AVE
1875,700 LANCASTER AVE
3970,700 LIVINGSTON AVE
1575,700 MARYLAND AVE
2035,700 STATE ST S
1640,700 SUMNER AVE
1350,700 TOWNSEND ST N
3420,700 WALNUT AVE
3740,800 ACKERMAN AVE
1465,800 CROUSE AVE S
2785,800 LANCASTER AVE
2270,800 LIVINGSTON AVE
1285,800 MADISON ST
1855,800 MARYLAND AVE
2325,800 SUMNER AVE
1100,800 UNIVERSITY AVE
2810,800 WALNUT AVE
2335,900 ACKERMAN AVE
2870,900 FAYETTE ST E
1070,900 HARRISON ST
1720,900 LANCASTER AVE
5430,900 MADISON ST
1490,900 MCBRIDE ST S
5630,900 WALNUT AVE
